Rank,Car #,School,Team,Time Run 1,# Major Penalty Run 1,Total Time Run 1,Time Run 2,# Major Penalty Run 2,Total Time Run 2,Best Time,Score
64,80,Universidad Autonoma Estado Mexico,Sara juana RT,110.594,7,145.594,105.561,7,140.561,140.561,0
65,51,Univ of West Florida,UWF Argos,93.573,13,158.573,88.703,11,143.703,143.703,0
66,40,Univ of Tennessee -Chattanooga,UTC Racing Mocs,102.603,11,157.603,97.376,10,147.376,147.376,0
67,65,Univ of Wisconsin - Stout,Blue Devil Racing,95.81,13,160.81,67.035,17,152.035,152.035,0
68,107,Miami Univ,Redhawk Racing,74.554,17,159.554,67.501,20,167.501,159.554,0
69,100,Univ of Pittsburgh - Johnstown,Steel Panther Racing,81.728,12,141.728,113.22,14,183.22,141.728,0
70,56,North Carolina A & T State Univ,Aggie Racing,72.098,14,142.098,74.64,22,184.64,142.098,0
71,91,Northern Illinois Univ,Niu Baja,84.465,15,159.465,108.059,20,208.059,159.465,0
,20,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles BAJA,,,,,,,,0
,25,Middle Tennessee State Univ,MTSU motorsports,,,,,,,,0
,30,Lipscomb Univ,Lipscomb Motor Sports,,,,,,,,0
,31,Millersville Univ of PA,Millersville Baja,,,,,,,,0
,39,Oklahoma Christian Univ,Eagle Heavy 1,,,,,,,,0
,58,Univ of Virginia,Virginia Motorsports,,,,,,,,0
,60,Michigan Tech Univ,Blizzard Baja,,,,,,,,0
,64,Univ of Tennessee - Martin,SKYHAWK Racing,,,,,,,,0
,66,Ohio Northern Univ,Polar Bear Racing,,,,,,,,0
,77,Missouri State University,MSU Baja,,,,,,,,0
,86,Univ of Missouri - Kansas City,UMKC Baja Racing,,,,,,,,0
,92,Louisiana State Univ,Baja Bengals,,,,,,,,0
,95,Univ of Arkansas - Fayetteville,Full Boar Racing,,,,,,,,0
,114,Univ of Missouri,Mizzou Baja Racing,,,,,,,,0
,115,Univ of Alabama - Birmingham,Blazer Motorsports,,,,,,,,0
